cod_ref	bib_ref	distigme_sampled	bar_sampled	background_sampled	distigme	distigme_loc	bar	bar_tot_length	bar_prot_length	gap	gap_loc	gap_length	trail	trail_length	high_dot	par_break	verse_break	Swan.ECM_avail	var_in_line	var_type	var_ref	notes
1508.B.35	1 Thes. 3:12			1	0		0			0			0		1	0	0	0	0			
1508.C.10	1 Thes. 4:1b	1		0	1	L	0			0			0		1	0	0	0	1	O3	NA28.626	
1508.C.33	1 Thes. 4:7			1	0		0			0			0		0	0	0	0	0			
1508.C.42	1 Thes. 4:9	1		0	1	L	0			0			0		0	0	0	0	1	MC	NA28.627	
1510.A.20	1 Thes. 5:25		1	0	0		1	4	3	0			1	33	1	1	0	0	0			
1510.A.24	1 Thes. 5:27			1	0		0			0			0		0	0	0	0	0			
1510.A.5	1 Thes. 5:20-21	1		0	1	L	0			0			0		1	1	1	0	1	O1	NA28.629	
1510.B.28	2 Thes. 1:5	1		0	1	L	0			0			0		1	0	0	0	0			
1510.B.7	2 Thes. 1:2		1	0	0		1	4.5	2.5	0			1	3	1	1	0	0	1	A1	NA28.630	
1510.C.3	2 Thes. 1:9	1		0	1	L	0			0			0		0	0	0	0	1	MC	NA28.630	
1510.C.38	2 Thes. 2:2a	1		0	1	L	0			0			0		1	0	0	0	0			
1511.A.38	2 Thes. 2:10	1		0	1	L	0			0			0		0	0	0	0	1	A1	NA28.632	
1511.A.8	2 Thes. 2:4	1		0	1	L	0			0			0		0	0	0	0	0			
